request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,request_hour,request_date
4077,Airport,12.0,Trip Completed,,,,
4610,City,12.0,Trip Completed,,,,
5066,Airport,12.0,Trip Completed,,,,
5666,Airport,12.0,Trip Completed,,,,
5923,City,12.0,Trip Completed,,,,
6367,City,12.0,Trip Completed,,,,
155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5.0,2016-07-11
310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7.0,2016-07-11
607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11.0,2016-07-11
1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19.0,2016-07-11
1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8.0,2016-07-12
3076,City,13.0,Trip Completed,,,,
4198,Airport,13.0,Trip Completed,,,,
4627,City,13.0,Trip Completed,,,,
5289,City,13.0,Trip Completed,,,,
5495,Airport,13.0,Trip Completed,,,,
6656,Airport,13.0,Trip Completed,,,,
139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5.0,2016-07-11
215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6.0,2016-07-11
1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9.0,2016-07-12
2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21.0,2016-07-12
3346,City,14.0,Trip Completed,,,,
5294,City,14.0,Trip Completed,,,,
6226,Airport,14.0,Trip Completed,,,,
6733,Airport,14.0,Trip Completed,,,,
1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19.0,2016-07-11
2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,,23.0,2016-07-12
3200,City,15.0,Trip Completed,,,,
3865,City,15.0,Trip Completed,,,,
4468,City,15.0,Trip Completed,,,,
5163,Airport,15.0,Trip Completed,,,,
6009,City,15.0,Trip Completed,,,,
6448,Airport,15.0,Trip Completed,,,,
591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11.0,2016-07-11
709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14.0,2016-07-11
1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20.0,2016-07-11
2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,,23.0,2016-07-12
2808,City,16.0,Trip Completed,,,,
3258,Airport,16.0,Trip Completed,,,,
3413,Airport,16.0,Trip Completed,,,,
3939,Airport,16.0,Trip Completed,,,,
4125,City,16.0,Trip Completed,,,,
4457,City,16.0,Trip Completed,,,,
4728,City,16.0,Trip Completed,,,,
5347,Airport,16.0,Trip Completed,,,,
6147,City,16.0,Trip Completed,,,,
6496,Airport,16.0,Trip Completed,,,,
634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12.0,2016-07-11
939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18.0,2016-07-11
2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22.0,2016-07-12
3021,City,17.0,Trip Completed,,,,
4743,City,17.0,Trip Completed,,,,
4981,City,17.0,Trip Completed,,,,
5367,Airport,17.0,Trip Completed,,,,
5471,Airport,17.0,Trip Completed,,,,
5988,Airport,17.0,Trip Completed,,,,
6477,Airport,17.0,Trip Completed,,,,
499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9.0,2016-07-11
1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20.0,2016-07-11
1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3.0,2016-07-12
1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9.0,2016-07-12
1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11.0,2016-07-12
2713,City,18.0,Trip Completed,,,,
2845,City,18.0,Trip Completed,,,,
3943,Airport,18.0,Trip Completed,,,,
4792,City,18.0,Trip Completed,,,,
5207,Airport,18.0,Trip Completed,,,,
5890,City,18.0,Trip Completed,,,,
494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9.0,2016-07-11
1485,City,19.0,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5.0,2016-07-12
2042,City,19.0,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14.0,2016-07-12
2561,Airport,19.0,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21.0,2016-07-12
3813,Airport,19.0,Trip Completed,,,,
4260,Airport,19.0,Trip Completed,,,,
4395,City,19.0,Trip Completed,,,,
5919,City,19.0,Trip Completed,,,,
6002,Airport,19.0,Trip Completed,,,,
468,City,20.0,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9.0,2016-07-11
693,Airport,20.0,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13.0,2016-07-11
1178,City,20.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21.0,2016-07-11
2103,City,20.0,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16.0,2016-07-12
2292,Airport,20.0,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18.0,2016-07-12
3339,City,20.0,Trip Completed,,,,
3694,City,20.0,Trip Completed,,,,
4469,City,20.0,Trip Completed,,,,
6432,City,20.0,Trip Completed,,,,
1895,City,21.0,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10.0,2016-07-12
1981,Airport,21.0,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12.0,2016-07-12
3744,Airport,21.0,Trip Completed,,,,
4433,Airport,21.0,Trip Completed,,,,
6039,Airport,21.0,Trip Completed,,,,
6543,City,21.0,Trip Completed,,,,
110,City,22.0,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5.0,2016-07-11
362,City,22.0,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8.0,2016-07-11
666,Airport,22.0,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13.0,2016-07-11
926,City,22.0,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18.0,2016-07-11
1180,Airport,22.0,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,21.0,2016-07-11
1900,City,22.0,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,10.0,2016-07-12
2506,City,22.0,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,21.0,2016-07-12
3064,City,22.0,Trip Completed,,,,
3327,Airport,22.0,Trip Completed,,,,
3601,City,22.0,Trip Completed,,,,
4768,Airport,22.0,Trip Completed,,,,
5142,City,22.0,Trip Completed,,,,
5366,Airport,22.0,Trip Completed,,,,
5575,City,22.0,Trip Completed,,,,
5902,City,22.0,Trip Completed,,,,
6694,Airport,22.0,Trip Completed,,,,
523,Airport,23.0,Trip Completed,2016-07-11 09:48:00,2016-07-11 10:37:00,9.0,2016-07-11
747,City,23.0,Trip Completed,2016-07-11 15:53:00,2016-07-11 16:43:00,15.0,2016-07-11
1371,Airport,23.0,Trip Completed,2016-07-12 00:22:00,2016-07-12 01:33:00,0.0,2016-07-12
1553,City,23.0,Trip Completed,2016-07-12 06:09:00,2016-07-12 07:09:00,6.0,2016-07-12
1692,Airport,23.0,Trip Completed,2016-07-12 07:52:00,2016-07-12 09:01:00,7.0,2016-07-12
2114,City,23.0,Trip Completed,2016-07-12 16:36:00,2016-07-12 17:21:00,16.0,2016-07-12
2742,City,23.0,Trip Completed,,,,
4273,City,23.0,Trip Completed,,,,
4668,City,23.0,Trip Completed,,,,
5425,City,23.0,Trip Completed,,,,
5488,City,23.0,Trip Completed,,,,
5781,City,23.0,Trip Completed,,,,
5966,Airport,23.0,Trip Completed,,,,
6122,City,23.0,Trip Completed,,,,
357,Airport,24.0,Trip Completed,2016-07-11 08:00:00,2016-07-11 09:08:00,8.0,2016-07-11
1068,City,24.0,Trip Completed,2016-07-11 19:52:00,2016-07-11 20:48:00,19.0,2016-07-11
2689,Airport,24.0,Trip Completed,,,,
2791,City,24.0,Trip Completed,,,,
3321,City,24.0,Trip Completed,,,,
3423,Airport,24.0,Trip Completed,,,,
3761,Airport,24.0,Trip Completed,,,,
4140,City,24.0,Trip Completed,,,,
4656,City,24.0,Trip Completed,,,,
4931,Airport,24.0,Trip Completed,,,,
5268,City,24.0,Trip Completed,,,,
5811,City,24.0,Trip Completed,,,,
6139,Airport,24.0,Trip Completed,,,,
6333,Airport,24.0,Trip Completed,,,,
773,City,25.0,Trip Completed,2016-07-11 16:23:00,2016-07-11 17:21:00,16.0,2016-07-11
1123,City,25.0,Trip Completed,2016-07-11 20:20:00,2016-07-11 21:18:00,20.0,2016-07-11
2667,Airport,25.0,Trip Completed,2016-07-12 23:35:00,,23.0,2016-07-12
2833,City,25.0,Trip Completed,,,,
3396,City,25.0,Trip Completed,,,,
3590,City,25.0,Trip Completed,,,,
3762,City,25.0,Trip Completed,,,,
4566,City,25.0,Trip Completed,,,,
4862,City,25.0,Trip Completed,,,,
5564,Airport,25.0,Trip Completed,,,,
6187,City,25.0,Trip Completed,,,,
6642,City,25.0,Trip Completed,,,,
322,City,26.0,Trip Completed,2016-07-11 07:31:00,2016-07-11 08:10:00,7.0,2016-07-11
793,City,26.0,Trip Completed,2016-07-11 17:04:00,2016-07-11 18:06:00,17.0,2016-07-11
898,Airport,26.0,Trip Completed,2016-07-11 18:14:00,2016-07-11 19:09:00,18.0,2016-07-11
1258,City,26.0,Trip Completed,2016-07-11 21:51:00,2016-07-11 23:00:00,21.0,2016-07-11
2832,City,26.0,Trip Completed,,,,
3139,City,26.0,Trip Completed,,,,
3438,City,26.0,Trip Completed,,,,
3966,Airport,26.0,Trip Completed,,,,
6401,Airport,26.0,Trip Completed,,,,
204,City,27.0,Trip Completed,2016-07-11 06:04:00,2016-07-11 06:44:00,6.0,2016-07-11
632,Airport,27.0,Trip Completed,2016-07-11 12:20:00,2016-07-11 13:10:00,12.0,2016-07-11
763,City,27.0,Trip Completed,2016-07-11 16:19:00,2016-07-11 17:25:00,16.0,2016-07-11
1786,Airport,27.0,Trip Completed,2016-07-12 09:03:00,2016-07-12 09:58:00,9.0,2016-07-12
1968,City,27.0,Trip Completed,2016-07-12 12:10:00,2016-07-12 12:49:00,12.0,2016-07-12
2088,Airport,27.0,Trip Completed,2016-07-12 15:51:00,2016-07-12 17:02:00,15.0,2016-07-12
2473,Airport,27.0,Trip Completed,2016-07-12 20:43:00,2016-07-12 21:20:00,20.0,2016-07-12
2869,Airport,27.0,Trip Completed,,,,
3742,Airport,27.0,Trip Completed,,,,
4440,Airport,27.0,Trip Completed,,,,
5234,City,27.0,Trip Completed,,,,
6354,Airport,27.0,Trip Completed,,,,
6638,City,27.0,Trip Completed,,,,
84,City,28.0,Trip Completed,2016-07-11 04:50:00,2016-07-11 05:26:00,4.0,2016-07-11
1199,City,28.0,Trip Completed,2016-07-11 21:17:00,2016-07-11 21:53:00,21.0,2016-07-11
1676,Airport,28.0,Trip Completed,2016-07-12 07:44:00,2016-07-12 08:40:00,7.0,2016-07-12
2774,City,28.0,Trip Completed,,,,
3220,Airport,28.0,Trip Completed,,,,
3718,Airport,28.0,Trip Completed,,,,
4904,Airport,28.0,Trip Completed,,,,
6527,Airport,28.0,Trip Completed,,,,
6710,City,28.0,Trip Completed,,,,
1584,Airport,29.0,Trip Completed,2016-07-12 06:26:00,2016-07-12 07:18:00,6.0,2016-07-12
1966,Airport,29.0,Trip Completed,2016-07-12 12:05:00,2016-07-12 13:12:00,12.0,2016-07-12
2827,City,29.0,Trip Completed,,,,
2945,Airport,29.0,Trip Completed,,,,
3365,City,29.0,Trip Completed,,,,
3548,Airport,29.0,Trip Completed,,,,
3753,City,29.0,Trip Completed,,,,
4569,Airport,29.0,Trip Completed,,,,
6309,Airport,29.0,Trip Completed,,,,
6437,City,29.0,Trip Completed,,,,
517,Airport,30.0,Trip Completed,2016-07-11 09:45:00,2016-07-11 10:24:00,9.0,2016-07-11
1406,Airport,30.0,Trip Completed,2016-07-12 03:02:00,2016-07-12 03:55:00,3.0,2016-07-12
1643,Airport,30.0,Trip Completed,2016-07-12 07:18:00,2016-07-12 08:10:00,7.0,2016-07-12
2108,Airport,30.0,Trip Completed,2016-07-12 16:14:00,2016-07-12 16:48:00,16.0,2016-07-12
2647,City,30.0,Trip Completed,2016-07-12 22:46:00,2016-07-12 23:18:00,22.0,2016-07-12
3129,City,30.0,Trip Completed,,,,
3738,Airport,30.0,Trip Completed,,,,
4422,Airport,30.0,Trip Completed,,,,
4790,City,30.0,Trip Completed,,,,
5496,City,30.0,Trip Completed,,,,
6484,Airport,30.0,Trip Completed,,,,
6731,Airport,30.0,Trip Completed,,,,
629,Airport,31.0,Trip Completed,2016-07-11 12:14:00,2016-07-11 13:00:00,12.0,2016-07-11
745,Airport,31.0,Trip Completed,2016-07-11 15:48:00,2016-07-11 16:45:00,15.0,2016-07-11
1064,City,31.0,Trip Completed,2016-07-11 19:53:00,2016-07-11 20:31:00,19.0,2016-07-11
1886,Airport,31.0,Trip Completed,2016-07-12 10:10:00,2016-07-12 10:35:00,10.0,2016-07-12
5608,Airport,31.0,Trip Completed,,,,
5877,City,31.0,Trip Completed,,,,
6100,Airport,31.0,Trip Completed,,,,
6659,Airport,31.0,Trip Completed,,,,
2162,Airport,32.0,Trip Completed,2016-07-12 17:34:00,2016-07-12 18:33:00,17.0,2016-07-12
3294,Airport,32.0,Trip Completed,,,,
3686,City,32.0,Trip Completed,,,,
4784,City,32.0,Trip Completed,,,,
5896,City,32.0,Trip Completed,,,,
6190,City,32.0,Trip Completed,,,,
6551,City,32.0,Trip Completed,,,,
145,City,33.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:37:00,5.0,2016-07-11
735,City,33.0,Trip Completed,2016-07-11 15:27:00,2016-07-11 16:32:00,15.0,2016-07-11
918,Airport,33.0,Trip Completed,2016-07-11 18:22:00,2016-07-11 19:04:00,18.0,2016-07-11
1478,City,33.0,Trip Completed,2016-07-12 05:16:00,2016-07-12 06:13:00,5.0,2016-07-12
1957,City,33.0,Trip Completed,2016-07-12 11:45:00,2016-07-12 12:55:00,11.0,2016-07-12
3097,City,33.0,Trip Completed,,,,
3981,Airport,33.0,Trip Completed,,,,
4175,City,33.0,Trip Completed,,,,
6237,City,33.0,Trip Completed,,,,
738,City,34.0,Trip Completed,2016-07-11 15:30:00,2016-07-11 16:44:00,15.0,2016-07-11
2731,City,34.0,Trip Completed,,,,
2863,Airport,34.0,Trip Completed,,,,
3528,Airport,34.0,Trip Completed,,,,
4653,City,34.0,Trip Completed,,,,
5042,City,34.0,Trip Completed,,,,
360,Airport,35.0,Trip Completed,2016-07-11 08:02:00,2016-07-11 09:05:00,8.0,2016-07-11
771,Airport,35.0,Trip Completed,2016-07-11 16:19:00,2016-07-11 17:34:00,16.0,2016-07-11
1274,City,35.0,Trip Completed,2016-07-11 22:01:00,2016-07-11 23:21:00,22.0,2016-07-11
1501,City,35.0,Trip Completed,2016-07-12 05:41:00,2016-07-12 06:47:00,5.0,2016-07-12
1972,City,35.0,Trip Completed,2016-07-12 12:22:00,2016-07-12 12:43:00,12.0,2016-07-12
2871,City,35.0,Trip Completed,,,,
3395,City,35.0,Trip Completed,,,,
3572,City,35.0,Trip Completed,,,,
4118,Airport,35.0,Trip Completed,,,,
4739,City,35.0,Trip Completed,,,,
6556,City,35.0,Trip Completed,,,,
6677,Airport,35.0,Trip Completed,,,,
1104,Airport,36.0,Trip Completed,2016-07-11 20:17:00,2016-07-11 21:20:00,20.0,2016-07-11
1596,Airport,36.0,Trip Completed,2016-07-12 06:39:00,2016-07-12 07:30:00,6.0,2016-07-12
1835,Airport,36.0,Trip Completed,2016-07-12 09:35:00,2016-07-12 10:30:00,9.0,2016-07-12
2110,Airport,36.0,Trip Completed,2016-07-12 16:19:00,2016-07-12 17:12:00,16.0,2016-07-12
2759,Airport,36.0,Trip Completed,,,,
3010,Airport,36.0,Trip Completed,,,,
3403,City,36.0,Trip Completed,,,,
3856,Airport,36.0,Trip Completed,,,,
4472,City,36.0,Trip Completed,,,,
5199,City,36.0,Trip Completed,,,,
5612,City,36.0,Trip Completed,,,,
6614,Airport,36.0,Trip Completed,,,,
191,Airport,37.0,Trip Completed,2016-07-11 05:55:00,2016-07-11 06:45:00,5.0,2016-07-11
333,City,37.0,Trip Completed,2016-07-11 07:43:00,2016-07-11 08:53:00,7.0,2016-07-11
488,Airport,37.0,Trip Completed,2016-07-11 09:35:00,2016-07-11 10:20:00,9.0,2016-07-11
1780,City,37.0,Trip Completed,2016-07-12 08:58:00,2016-07-12 09:45:00,8.0,2016-07-12
2235,Airport,37.0,Trip Completed,2016-07-12 18:12:00,2016-07-12 19:14:00,18.0,2016-07-12
2516,City,37.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:18:00,21.0,2016-07-12
4209,City,37.0,Trip Completed,,,,
4726,City,37.0,Trip Completed,,,,
5088,Airport,37.0,Trip Completed,,,,
5352,Airport,37.0,Trip Completed,,,,
6024,Airport,37.0,Trip Completed,,,,
6196,Airport,37.0,Trip Completed,,,,
6297,City,37.0,Trip Completed,,,,
125,City,38.0,Trip Completed,2016-07-11 05:12:00,2016-07-11 06:17:00,5.0,2016-07-11
1611,City,38.0,Trip Completed,2016-07-12 06:49:00,2016-07-12 07:44:00,6.0,2016-07-12
1814,City,38.0,Trip Completed,2016-07-12 09:19:00,2016-07-12 09:59:00,9.0,2016-07-12
3088,City,38.0,Trip Completed,,,,
3384,Airport,38.0,Trip Completed,,,,
4218,Airport,38.0,Trip Completed,,,,
5757,City,38.0,Trip Completed,,,,
5958,Airport,38.0,Trip Completed,,,,
6314,City,38.0,Trip Completed,,,,
249,City,39.0,Trip Completed,2016-07-11 06:31:00,2016-07-11 07:14:00,6.0,2016-07-11
728,City,39.0,Trip Completed,2016-07-11 15:05:00,2016-07-11 16:09:00,15.0,2016-07-11
3042,City,39.0,Trip Completed,,,,
3620,City,39.0,Trip Completed,,,,
4276,City,39.0,Trip Completed,,,,
4735,City,39.0,Trip Completed,,,,
1353,Airport,40.0,Trip Completed,2016-07-11 23:51:00,2016-07-12 00:34:00,23.0,2016-07-11
1568,City,40.0,Trip Completed,2016-07-12 06:18:00,2016-07-12 06:52:00,6.0,2016-07-12
2465,City,40.0,Trip Completed,2016-07-12 20:38:00,2016-07-12 21:37:00,20.0,2016-07-12
3688,City,40.0,Trip Completed,,,,
4727,City,40.0,Trip Completed,,,,
5348,City,40.0,Trip Completed,,,,
6537,Airport,40.0,Trip Completed,,,,
1941,Airport,41.0,Trip Completed,2016-07-12 11:29:00,2016-07-12 12:09:00,11.0,2016-07-12
3766,Airport,41.0,Trip Completed,,,,
4243,Airport,41.0,Trip Completed,,,,
4717,Airport,41.0,Trip Completed,,,,
5682,City,41.0,Trip Completed,,,,
6343,City,41.0,Trip Completed,,,,
6726,Airport,41.0,Trip Completed,,,,
238,City,42.0,Trip Completed,2016-07-11 06:27:00,2016-07-11 07:15:00,6.0,2016-07-11
2624,City,42.0,Trip Completed,2016-07-12 22:16:00,2016-07-12 23:17:00,22.0,2016-07-12
2787,City,42.0,Trip Completed,,,,
3992,City,42.0,Trip Completed,,,,
4974,City,42.0,Trip Completed,,,,
5478,Airport,42.0,Trip Completed,,,,
5641,City,42.0,Trip Completed,,,,
128,City,43.0,Trip Completed,2016-07-11 05:12:00,2016-07-11 05:48:00,5.0,2016-07-11
627,City,43.0,Trip Completed,2016-07-11 12:12:00,2016-07-11 13:10:00,12.0,2016-07-11
1766,Airport,43.0,Trip Completed,2016-07-12 08:45:00,2016-07-12 09:52:00,8.0,2016-07-12
2089,City,43.0,Trip Completed,2016-07-12 15:49:00,2016-07-12 16:32:00,15.0,2016-07-12
3565,City,43.0,Trip Completed,,,,
3954,Airport,43.0,Trip Completed,,,,
4204,City,43.0,Trip Completed,,,,
